song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Sorriu Para Mim,"Rosa Passos, Ron Carter",spotify:track:4RWArvqdi3dy4Z1VMXdN3T,0.685,0.281,-20.799,0.0472,0.866,0.756,0.106,0.727,96.592,238000
Adeus Batucada,Ordinarius,spotify:track:3jbpTDWkuhkr8M5aMZOGPS,0.793,0.589,-10.743,0.0741,0.157,0.0,0.107,0.878,91.933,155387
Oração Ao Tempo,Ordinarius,spotify:track:7bhmxtzISpNKQcU21EssKD,0.84,0.147,-20.336,0.303,0.9,0.000475,0.116,0.684,89.975,166823
Ta-Hí (Ta Hi) (Pra Você Gostar De Mim),"Marina De La Riva, Davi Moraes",spotify:track:2AASe2OxBaCN0d8tN27tXO,0.808,0.476,-10.358,0.0986,0.642,0.0343,0.13,0.7,112.949,264080
Canto De Nanã / Oração De Mãe Menininha / Drumi Ogguere / Babalu,"Marina De La Riva, Danilo Caymmi",spotify:track:0hwU4zNAwzopOZvDo9LJPU,0.468,0.603,-6.9,0.0345,0.699,0.0599,0.0853,0.916,146.51,318720
Um Abraço e um Olhar,"João Suplicy, Zeca Baleiro",spotify:track:2FNBzrF0r29vHmEZD8KUVb,0.674,0.69,-8.34,0.229,0.689,0.0,0.426,0.894,93.959,203693
Paris,Márcio Faraco,spotify:track:0uziRA46wxFQvNRtArLcZ4,0.883,0.45,-10.32,0.0908,0.7,0.0407,0.105,0.775,107.967,201808
Diz Sim (feat. Vanessa Da Mata),"Tiago Bettencourt, Vanessa Da Mata",spotify:track:62Px89izjilZFQ5vrTJZAd,0.653,0.337,-14.274,0.0316,0.882,0.0688,0.172,0.427,121.001,236642
Apesar De Você,"Chico Buarque, MPB4, Quarteto Em Cy",spotify:track:2GAFZG9Z7UGS1iMm4Idrnr,0.568,0.574,-8.993,0.0683,0.468,0.0,0.362,0.68,107.821,235547
Alfama,"MOMO., Camane",spotify:track:5RD9kz1mwx4ES0ky2raD1H,0.398,0.265,-10.502,0.0327,0.837,8.35e-06,0.102,0.304,200.579,209933
Chorando Sim,"Pauline Croze, Bruno Ferreira",spotify:track:0PimWUXGO0AEPoRxpGAB4j,0.656,0.523,-10.475,0.0458,0.803,0.00399,0.124,0.341,86.997,218720
Um Canto De Afoxé Para O Bloco Do Ilê - Ao Vivo,"Caetano Veloso, Moreno Veloso, Tom Veloso, Zeca Veloso",spotify:track:0PmqUkENioOAYPox4fQrpZ,0.684,0.255,-14.484,0.0537,0.69,0.00475,0.691,0.613,95.682,152613
マリア朝よ,Lisa Ono,spotify:track:4BEWR9Ao65NdpHrZu1qKM0,0.421,0.369,-9.012,0.0282,0.675,0.00014,0.115,0.306,123.821,229973
Canto Em Qualquer Canto,Mônica Salmaso,spotify:track:0tbJytKo9rrsY753nWJAwd,0.459,0.188,-16.643,0.0355,0.972,0.0357,0.103,0.302,85.296,279160
Manha De Carnaval,Astrud Gilberto,spotify:track:1Rl6ZKS94JvWgP2Dh44fRo,0.39,0.0806,-20.659,0.0311,0.935,0.00219,0.1,0.355,96.433,117333
