song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Bored In The USA,Father John Misty,spotify:track:6LLsENjsAeu99G6sxPddxr,0.461,0.124,-10.915,0.0328,0.877,0.0,0.324,0.296,103.94,262013
Fifty Shades Darker (Crazy in Love),Norman Dück,spotify:track:2AjGfBkqW1e1nUPkcBD2jx,0.352,0.183,-15.924,0.0363,0.953,0.876,0.0907,0.0693,119.067,215602
Same Love - Live From Spotify NYC feat. Mary Lambert,"Macklemore & Ryan Lewis, Mary Lambert",spotify:track:6rLNXRpMGdmlx6GoqzfxW0,0.668,0.529,-9.498,0.246,0.514,0.0,0.123,0.308,85.031,315759
Have A Great Flight,Yelawolf,spotify:track:0bGW3ANNZzJ0O85ce1hRxq,0.695,0.712,-7.339,0.0393,0.33,0.0296,0.111,0.314,115.002,303133
Tell Me That You Love Me (feat. Victoria Justice & Leon Thomas III),"Victorious Cast, Victoria Justice, Leon Thomas III",spotify:track:15Bj2mnFiEdDEoOcnLvEcX,0.69,0.794,-2.576,0.0474,0.319,0.0,0.34,0.505,119.944,161347
If You Love Me (feat. Jay Park),"NS Yoon-G, Jay Park",spotify:track:41eenDXgPx45KuzgYJvevD,0.582,0.819,-5.192,0.0737,0.0583,0.0,0.162,0.534,169.995,198840
마지막 사랑 Last Love,Red Velvet,spotify:track:5SIoQI6Ycp8I8sFFzFJhkX,0.331,0.509,-6.231,0.0331,0.565,0.0,0.108,0.137,129.479,294123
Drop Your Love (feat. Dirty Radio),"Young Franco, DiRTY RADiO",spotify:track:08V9Lvq19LbR3IlgL2AYXv,0.661,0.806,-6.194,0.437,0.0163,0.0,0.117,0.475,121.216,207022
Without You,"for KING & COUNTRY, Courtney",spotify:track:4d5gF6Zxe8IpMEXD2xw9Wk,0.341,0.292,-11.971,0.0361,0.837,0.000473,0.108,0.103,140.853,292693
Sho Me Love,"Rich Gang, JUVENILE",spotify:track:6sZHCkmQa8hzxfdI9MuywS,0.66,0.6,-6.152,0.14,0.0645,0.000182,0.254,0.354,129.99,272427
Love Money Party (feat. Big Sean),"Miley Cyrus, Big Sean",spotify:track:1pzSeZfdQODtB9xmkH0Q91,0.792,0.546,-7.549,0.0916,0.0784,0.0,0.341,0.794,129.093,219773
Vicious Love (feat. Hayley Williams),New Found Glory,spotify:track:5PEqJiLeHc9mWn0kWqNcDb,0.615,0.907,-2.908,0.0552,0.00818,2.67e-05,0.145,0.716,109.962,197225
Love Me Or Leave Me,Chad Brownlee,spotify:track:2i1zsZuAT0lPsr7bMN4cUd,0.44,0.882,-3.861,0.0414,0.1,0.0011,0.115,0.44,185.847,225160
Love Me Like You Do,Boyce Avenue,spotify:track:4sT5DYq2NolMi8i6tk5FtA,0.494,0.254,-9.87,0.0405,0.827,0.0,0.204,0.24,92.696,198218
Burning Love - with The Royal Philharmonic Orchestra,"Elvis Presley, Royal Philharmonic Orchestra",spotify:track:57Das8n8lhfJpMG3s9PjDD,0.547,0.936,-4.997,0.0415,0.0343,7.69e-05,0.107,0.735,142.995,209760
All My Love - Remaster,Led Zeppelin,spotify:track:5UdShl12E6eHEgS8lQ1bPr,0.552,0.791,-8.356,0.0303,0.123,1.42e-05,0.162,0.698,91.2,355893
Im In Love With The Shape Of You (Radio Edit),Ben Edsel,spotify:track:2aUJjE1pxKwl3uhvkKPW1b,0.763,0.788,-4.018,0.335,0.527,0.0,0.108,0.926,192.071,234162
Is This Love?,Hong Dae Kwang,spotify:track:1EwXfdjTwpFp2XJ8YUlKzG,0.692,0.913,-1.821,0.0752,0.452,0.0,0.189,0.548,133.987,238000
"Will You Still Love Me Tomorrow - From ""Love Me Tomorrow""",Juris,spotify:track:1HeKIVTDV4LHqu5PMy3x3U,0.587,0.266,-12.109,0.0264,0.776,1.51e-05,0.106,0.074,101.989,187167
$TING,The Neighbourhood,spotify:track:48YPDmhRIQRiusm5uCz5gX,0.566,0.777,-6.19,0.0505,0.622,0.758,0.0985,0.341,134.014,282547
Let's Fall In Love,Ann Hampton Callaway,spotify:track:0Z0qG3El21xEkL9RupyIin,0.48,0.281,-13.807,0.0592,0.785,3.04e-06,0.138,0.635,137.352,166960
773 Love,Jeremih,spotify:track:0HBrQjHR5ZCYK5QYfzDbed,0.582,0.458,-7.642,0.185,0.306,0.0,0.32,0.36,134.793,230213
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr., Bill Withers",spotify:track:7Lk83uozmGWre1q8eyOOUP,0.802,0.488,-9.304,0.0813,0.572,0.0598,0.0763,0.624,95.77,237106
Mon Ami (feat. Shaka Loveless),"Jesper Livid, Shaka Loveless",spotify:track:7g04srseIxDHZzOj19Bswq,0.73,0.627,-6.338,0.0624,0.348,0.0,0.354,0.549,110.087,225393
Love That Girl,Raphael Saadiq,spotify:track:4ZKGarvWsSOruOaw40cFNz,0.71,0.674,-5.393,0.0352,0.0136,1.73e-05,0.0366,0.7,124.033,184413
Love Remains,Hillary Scott & The Scott Family,spotify:track:012hwrpv6RHD713nBVUyg7,0.541,0.262,-9.798,0.0275,0.953,0.000344,0.104,0.218,139.041,236907
The Girl,City and Colour,spotify:track:6YkLhxpNyysdTIpgI22tHC,0.409,0.515,-6.966,0.0288,0.832,1.33e-05,0.101,0.348,108.859,286733
Love Is A Battlefield - Remastered,Pat Benatar,spotify:track:4cBjhKOEXr66AlBtyyPrPe,0.679,0.875,-4.25,0.0556,0.0408,0.000189,0.0801,0.863,90.71,249533
I Think We're Alone Now,Tiffany,spotify:track:0n1NI4TnEw0SeXSS4DNhhb,0.646,0.892,-5.406,0.041,3.76e-05,0.00665,0.0915,0.7,130.297,226520
Rideau Swing,Night Lovell,spotify:track:2bjMfUmlw43clN4fnRpN0G,0.87,0.558,-6.867,0.0498,0.0429,0.0,0.154,0.648,106.001,149445
Lay All Your Love On Me,ABBA,spotify:track:2245x0g1ft0HC7sf79zbYN,0.695,0.701,-6.435,0.0281,0.0187,0.0464,0.251,0.58,133.0,272507
"Ocean Love (From ""Royal Crush Season 2"")",Alex Aiono,spotify:track:07si8fzpjvW0CVT3Ok5TD7,0.597,0.562,-9.615,0.0316,0.00738,0.0,0.361,0.395,90.027,220944
"Baby, This Love I Have",Minnie Riperton,spotify:track:397fxHew7NyjryGWGr1Imy,0.59,0.438,-12.594,0.0508,0.292,0.00216,0.103,0.727,83.506,250867
Last One I Love,Marc E. Bassy,spotify:track:2KJ8qUPD6ob0vHqJlLaZFX,0.491,0.65,-8.459,0.0337,0.372,0.00106,0.218,0.384,94.743,275400
Nothing Good Ever Happens At The Goddamn Thirsty Crow,Father John Misty,spotify:track:7n7Ova6YQc6HEfF2KM4Hov,0.534,0.468,-7.613,0.0279,0.431,1.94e-06,0.23,0.181,72.9,274467
All of Me,John Legend,spotify:track:0xjbDDTQDtRUbr4Dh32Cv0,0.422,0.264,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,269560
Can’t Control My Love,Total Giovanni,spotify:track:2uZpItKqisFdDsjTjif3Nv,0.676,0.665,-11.759,0.0468,0.19,0.493,0.109,0.379,115.63,284145
Love Star,"Common, Marsha Ambrosius, PJ",spotify:track:4dHev0NeEsL3Wdavbpn4si,0.712,0.492,-10.719,0.198,0.0316,0.000121,0.263,0.639,90.987,309093
Livin' On Love,Alan Jackson,spotify:track:26iYJEimPCE0ozDlpj0UFN,0.705,0.669,-5.974,0.0262,0.163,3.41e-06,0.0966,0.673,118.539,228733
"This Love, This Hate",Hollywood Undead,spotify:track:2wRxT0oLnINBO3hPaivUnk,0.606,0.884,-5.465,0.0535,0.00149,0.0,0.159,0.646,130.01,237160
Fell in Love With You (feat. Cristina Llull),"Hilow, Cristina Hart",spotify:track:0JxOchJtqL5kXkF6dGhi2o,0.344,0.793,-8.459,0.0654,0.359,0.2,0.368,0.144,115.033,175304
...To Be Loved,Papa Roach,spotify:track:4dhPgDB0QkGDUhLdnTRRUv,0.337,0.972,-4.026,0.15,0.00464,0.0,0.449,0.465,192.074,181373
Love and Feeling,Chet Faker,spotify:track:5h4mnlcuHIE0S9A9PfyX8E,0.384,0.492,-7.659,0.0823,0.865,1.83e-05,0.153,0.39,73.984,250453
Soldier of Love,Sade,spotify:track:0bgsj8kz5zWbQ6njk2Oqoz,0.775,0.572,-8.427,0.0633,0.0117,0.0293,0.0847,0.64,90.023,356653
This Modern Love,Bloc Party,spotify:track:2PAhcPwab2sJz340QHtunD,0.453,0.938,-5.344,0.0386,0.00306,0.00318,0.132,0.261,160.005,265707
Love You Madly,Cake,spotify:track:5jhfa76FhqtD3Boij6MAKS,0.752,0.809,-8.399,0.0598,0.0908,9.41e-05,0.169,0.658,106.999,237827
I Love My Niggas,Stitches,spotify:track:0qW03aEjEk8BaWXbXb5KcJ,0.865,0.562,-9.927,0.0745,0.00927,0.0,0.368,0.443,124.984,263624
A Lovely Place to Be,Patrick O'Hearn,spotify:track:7ocJPvoS4xnFcaFc4B3AJj,0.0992,0.012,-29.215,0.0407,0.977,0.963,0.0972,0.0342,89.717,530800
Just Love Me,Chris Cagle,spotify:track:2onXZTp7OYgnblrt9eq08I,0.506,0.72,-6.994,0.0369,0.0614,0.0,0.0632,0.418,155.829,308413
Endless Love,Gil Glaze,spotify:track:2bFQOjyA5y1B6w3jv2JheG,0.558,0.873,-3.838,0.0366,0.0414,0.0155,0.0649,0.158,125.942,250000
Love Affair (feat.Giantpink),Niel,spotify:track:1UBqE5lJxD6gZFQPH6u37B,0.634,0.805,-2.775,0.0287,0.357,0.0,0.288,0.677,94.998,202133
Used To Love Her,Guns N' Roses,spotify:track:2uduMoxSNLkDBhyLS2JroT,0.615,0.831,-9.394,0.0311,0.426,7.26e-05,0.184,0.914,135.114,191360
My Love - Prince Fox Remix,"Route 94, Jess Glynne, Prince Fox",spotify:track:5XzzxwMMo5OwPbt8LRjGBU,0.641,0.492,-7.935,0.213,0.3,0.0159,0.263,0.631,140.031,178286
Non Stop,Gyptian,spotify:track:6kIECxdL4lVr6VNggC6tpI,0.727,0.797,-3.975,0.125,0.0112,6.71e-06,0.154,0.363,105.788,177173
Best of My Love,The Emotions,spotify:track:2M2WJ7gBlcKNxdhyfPp9zY,0.784,0.713,-6.865,0.0339,0.447,0.14,0.0904,0.97,115.443,220560
"Love Is All Around - From ""Four Weddings And A Funeral""",Wet Wet Wet,spotify:track:1DJ7sGOjJmJMKpq7Y3bIki,0.437,0.665,-8.389,0.0312,0.276,0.0,0.198,0.558,169.901,237760
Waiting...,City and Colour,spotify:track:4NnhHjpMeCdvoAcak9kNu4,0.587,0.627,-6.275,0.0265,0.156,4.26e-05,0.127,0.456,132.982,294000
Moaning Lisa Smile,Wolf Alice,spotify:track:7gChGUkqWkinDS7uYoMLIM,0.513,0.839,-4.374,0.0427,0.000788,0.237,0.113,0.294,98.12,162387
Seasons Of Love (Glee Cast Version),Glee Cast,spotify:track:5gKfjl3XR7Oqf07gkjwLQk,0.605,0.507,-6.354,0.0259,0.618,1.92e-06,0.122,0.253,89.033,184480
sea of lovers,Christina Perri,spotify:track:71JQ4eRRt75aNmzaEr1zTz,0.301,0.569,-5.592,0.0528,0.538,0.0,0.101,0.336,177.641,215387
Let The Love - Radio Edit,"Starkillers, Dmitry Ko, Amba Shepherd",spotify:track:5QJlq3nNe2eKNhMKUAFYqs,0.613,0.909,-4.322,0.0993,0.00191,0.132,0.0841,0.364,128.001,206250
Say You Love Me,Fleetwood Mac,spotify:track:6lrQo6KAYvb92MGk6ZuZlt,0.723,0.596,-13.436,0.0308,0.0187,0.00513,0.16,0.962,128.068,249947
If You Ever Get Lonely,Love and Theft,spotify:track:59xhPPrPcByXm5K5iXi2mC,0.539,0.635,-6.461,0.0295,0.0775,0.0,0.0643,0.283,81.979,228893
Slut Like You,P!nk,spotify:track:6NvQ2ozgzhKKFalYolYGVs,0.618,0.857,-3.621,0.0671,0.00357,0.0,0.0832,0.531,130.057,221960
Guidance,"Night Lovell, Nessly",spotify:track:5YF1HKQT8PJGpxerHqkFzF,0.647,0.369,-15.053,0.161,0.378,0.00035,0.177,0.154,119.985,176000
American Love,Jake Owen,spotify:track:5b1dtiXVrYE5f4plNkE8ra,0.573,0.96,-5.973,0.0789,0.0345,0.0,0.116,0.687,99.974,195520
K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),Anthem Lights,spotify:track:5rJw9VsPNdfnV9Ar97xZG2,0.39,0.455,-4.247,0.0316,0.397,0.0,0.125,0.358,107.012,182288
Before the Vomit,Amir Obe,spotify:track:6vx3B8PW3Vt1RTLpmxIwPp,0.691,0.458,-9.128,0.156,0.762,1.69e-05,0.106,0.436,121.959,190877
All Out Of Love,Air Supply,spotify:track:524FcNstEG0iAHPNAgwXe7,0.403,0.705,-5.961,0.033,0.0928,0.0,0.712,0.305,100.026,347387
Your Love Never Fails - Live,"Jesus Culture, Chris Quilala",spotify:track:5f7eZRUBHwsf8SMVYVCgrG,0.41,0.869,-4.496,0.0472,0.00801,0.0,0.238,0.353,113.971,477880
Cake Love (PROD. BY The Black Skirts),XIA,spotify:track:6JKOW62WkDgaK1B4vctlHE,0.432,0.761,-4.126,0.0305,0.0117,2.88e-05,0.75,0.341,138.004,278999
"Happiness, Pt. 1",Satchmode,spotify:track:0NWXY637oVBuioz75w9Qai,0.614,0.669,-7.032,0.0283,0.223,0.125,0.152,0.524,149.979,205267
Please Don't Say You Love Me,Gabrielle Aplin,spotify:track:6DdyZAF3pvMXMRrI0OtDqy,0.479,0.541,-9.862,0.0545,0.737,0.0,0.108,0.321,85.994,181400
Where the Devil Don't Go,Elle King,spotify:track:0mHSePRiFnTy7qYPsIeIJ8,0.39,0.825,-5.515,0.0784,0.0185,2.22e-06,0.0839,0.489,203.855,181493
If We Fall in Love,Yeng Constantino,spotify:track:7D4rSZoga8hqJqNOVcPde1,0.568,0.382,-9.906,0.0285,0.782,1.03e-05,0.0945,0.3,140.085,246680
No Ordinary Love,You+Me,spotify:track:3Vp1ShzJnzjtMbGucz0c16,0.579,0.0952,-10.659,0.0364,0.971,0.0,0.137,0.175,125.733,249440
Your Love,Mick Jenkins,spotify:track:4K4l4lbc7LX6NjXxFp7E4c,0.652,0.454,-5.95,0.16,0.0505,0.0,0.14,0.639,95.063,194143
Guess It Was,The Sea The Sea,spotify:track:686Vrg8BINJLpqN218ne2K,0.392,0.219,-9.888,0.0299,0.894,0.000507,0.117,0.2,78.264,202235
Lover in Dark (AObeats Remix),Benta,spotify:track:6xqlurpDnJDggjmWg3TFCv,0.486,0.412,-10.018,0.213,0.21,0.0232,0.114,0.18,82.998,286265
Good Morning Mr. Wolf,Patrick Watson,spotify:track:60rUxa0pDKN18gMVNKdWHm,0.257,0.281,-12.061,0.0332,0.785,0.234,0.13,0.188,83.312,356221
Come and Get Your Love,Redbone,spotify:track:5519RhpzObr9Mn3iqoeodJ,0.674,0.785,-6.126,0.0535,0.127,7.9e-05,0.0764,0.853,105.543,300200
Love Me Tinder,Prozzak,spotify:track:2lMDXGZx50tuBodXWtEDyl,0.585,0.68,-6.083,0.0405,0.00725,0.0,0.265,0.439,165.047,214081
The Simple Things,Michael Carreon,spotify:track:755gQFe8AygwKePVjrMDoj,0.777,0.491,-6.523,0.0297,0.777,2e-06,0.101,0.681,95.106,263633
I LOVE YOU,2NE1,spotify:track:7zXpc5H2t0CKuCpIrToU9R,0.711,0.837,-4.277,0.038,0.0242,0.0,0.531,0.563,125.075,237138
Drown The Lovers,RITUAL,spotify:track:0tKsjDhdNT5JPgutl9J7uf,0.459,0.324,-9.888,0.0467,0.703,0.000377,0.0977,0.108,142.282,234088
It Ain't Love,"Carneyval, Jackson Breit",spotify:track:2D1zEnFLIqJRlKf74bcLzb,0.735,0.577,-6.372,0.0546,0.289,1.14e-06,0.0595,0.708,88.007,193000
O Pag-ibig,"Bailey May, Ylona Garcia",spotify:track:0tFf7zT24Qf0fPPv1kSzqJ,0.609,0.516,-6.94,0.0277,0.0386,0.0,0.234,0.61,170.017,217453
Love Don't Let Me Go,David Guetta,spotify:track:5lgS45xqkTk2HVm7Jph9ya,0.593,0.836,-4.774,0.0463,7.37e-05,0.0,0.117,0.406,127.087,216893
Part Time Lovers (Full Time Fools),Andrew Combs,spotify:track:4aQyypbkU9LYOSFif2h3gJ,0.566,0.593,-7.364,0.0291,0.126,2.49e-05,0.11,0.654,138.973,191560
The Lovecats,The Cure,spotify:track:2gOaGuy7ZlfVDSnTfPkxpH,0.74,0.816,-4.764,0.0765,0.497,0.0,0.195,0.963,91.91,220427
Cry Me a River,Michael Bublé,spotify:track:5i04Jy87RLxoZszJqY3QAN,0.458,0.483,-7.909,0.0366,0.624,5.62e-06,0.0754,0.513,104.823,254747
The Renegade Never Dies,Night Lovell,spotify:track:1G2H69egk1wGPYRv0rRPie,0.888,0.439,-6.706,0.166,0.545,0.00618,0.0908,0.387,79.013,158014
"Loves Me, Loves Me Not",Hong Jin Young,spotify:track:2iKNzKufDrPdkA82OLgoJ7,0.7,0.725,-4.633,0.0287,0.449,0.0,0.134,0.582,102.987,186682
Monday,Cécile McLorin Salvant,spotify:track:3ojIljXP1xNpkdNnnKweNr,0.451,0.14,-15.402,0.0327,0.855,7.87e-06,0.128,0.103,102.177,120973
I Love You,Woodkid,spotify:track:0z39yzkwMNXYX2LYtEOpFW,0.542,0.814,-4.759,0.0386,0.0532,0.000481,0.0852,0.526,146.002,230160
Nevertheless (I'm in Love with You) (feat. The Puppini Sisters),"Michael Bublé, The Puppini Sisters",spotify:track:4DNfZAso4sNpBvLD7Xw1lL,0.521,0.305,-7.493,0.0271,0.835,0.0,0.111,0.289,113.66,175293
Lovely,Sara Haze,spotify:track:4CFeMlCiaYfKyuFDegfDVd,0.386,0.173,-9.745,0.0339,0.846,0.0,0.312,0.22,87.242,226002
Outro : Love is Not Over,BTS,spotify:track:5obkOTgGy6tePsQCRWvUWK,0.719,0.335,-8.085,0.0595,0.632,0.0,0.131,0.219,105.062,143863
Let Me Love You / We Don't Talk Anymore,Gardiner Sisters,spotify:track:3IPgxM0HFLx7ipx9pyLGp2,0.596,0.296,-7.556,0.0584,0.882,0.0,0.127,0.466,92.971,194063
First Love / Late Spring,Mitski,spotify:track:1Ac5BDsGUMQ3tsW2vnc52x,0.443,0.545,-8.196,0.0273,0.000813,0.0137,0.202,0.104,99.914,278640
All My Love,Imaginary Future,spotify:track:2Yf7GDUIRd7YpA5LgqCeb5,0.488,0.386,-13.375,0.0382,0.828,0.0258,0.0932,0.139,131.997,230624
Overwhelmed,Big Daddy Weave,spotify:track:0UcyrdirFfmpzEKQJ47Ixr,0.527,0.639,-6.828,0.0386,0.0752,0.0,0.105,0.197,148.015,329027
Set You Free (Rainer + Grimm vs. Bobby Love Remix) [feat. Jydn],"Rainer + Grimm, JYDN",spotify:track:0FpkOq7yHBcfctB6oHlPUW,0.794,0.78,-4.811,0.0598,0.00117,0.103,0.241,0.255,123.018,256378
When to Love You (feat. Chelsea Cutler),"Andrew Luce, Chelsea Cutler",spotify:track:4jDXAkJLq1U085mcWWZSnc,0.719,0.459,-12.874,0.0992,0.0131,0.0161,0.0877,0.0859,95.021,270316
I'm In Love with You,Endre Nordvik,spotify:track:6CAJfBlMsYUtkI7fBAXE6Y,0.541,0.46,-9.53,0.0262,0.335,0.000164,0.469,0.395,79.994,227252
Moving to New York,The Wombats,spotify:track:7GvkOFkNsM6Exnkyqeajqm,0.252,0.886,-4.678,0.0714,2.93e-05,5.33e-06,0.256,0.498,161.939,210560
Don't Take Your Love from Me,Catherine Russell,spotify:track:0yU5Oa00MqxV6GvVQ0CQu6,0.379,0.142,-11.13,0.0359,0.894,0.000202,0.14,0.178,179.277,292288
My Love (Radio Version),Kuba Oms,spotify:track:6x5ezOgpYH0yzNUcoQbSQ0,0.635,0.895,-5.324,0.055,0.00157,0.0,0.366,0.778,128.078,215438
Walk,Kwabs,spotify:track:6D3g26uM2CmNVUhPWWNsBS,0.615,0.814,-3.903,0.0677,0.17,0.0,0.218,0.577,144.005,214150
Good Thing.,JoJo,spotify:track:2mCLMdr0J2yBgPSL2gFVxc,0.698,0.744,-3.604,0.0586,0.0597,1.31e-05,0.283,0.407,123.003,210602
"I'll Never Love This Way Again - From ""Barcelona - A Love Untold""",Gary Valenciano,spotify:track:4TBV4DB6XiXhTpARNrxRUY,0.311,0.267,-9.821,0.0329,0.615,1.56e-05,0.13,0.0826,122.085,241946
I Will Not Sing a Hateful Song - Alternate Version,Constantines,spotify:track:79Uz0Yso9JK1yhDaGg78pS,0.449,0.143,-14.721,0.0394,0.948,0.254,0.116,0.24,79.637,211787
How Deep Is Your Love,Dru Hill,spotify:track:60NvAO9lx0KmBNAVHIlWN6,0.729,0.434,-9.111,0.079,0.0473,1.23e-05,0.314,0.743,94.411,243360
I Love Rock 'N' Roll,Britney Spears,spotify:track:29viePXNqWUw1cxqzOcuOD,0.709,0.728,-1.643,0.185,0.000811,0.105,0.564,0.572,180.107,186533
Nobody Does It Better,"Marvin Hamlisch, Carly Simon",spotify:track:49RUdNvwSiUTC8fBh4KKoC,0.368,0.403,-12.699,0.0288,0.703,7.66e-06,0.202,0.338,135.384,212667
She in Love,"Juicy J, Wiz Khalifa, Tm88",spotify:track:6rmzp7W2Oeywk0iWSKQzgY,0.863,0.734,-5.898,0.333,0.0486,0.0,0.294,0.547,160.028,241128
I'm Still In Love With You,New Edition,spotify:track:46LEQkbfPT5x2ZanS3STg5,0.741,0.519,-4.683,0.0351,0.426,0.0,0.318,0.418,134.294,279667
Love Somebody - Mr. Carmack Remix,"Ta-ku, Wafia, Mr. Carmack",spotify:track:6t408QYtjs0NN4xJp2Wfo8,0.72,0.558,-10.455,0.0504,0.0245,2.65e-05,0.12,0.399,104.993,220218
Killer Whales,Smallpools,spotify:track:0qnOjNW04qpcgXqD9dwru2,0.416,0.849,-3.833,0.0503,0.000303,4.23e-05,0.185,0.677,144.844,222760
The Limit To Your Love,Feist,spotify:track:0sMxofPv6pdruAyyfPHJs8,0.558,0.361,-8.136,0.0314,0.656,0.000823,0.101,0.351,152.057,261040
Unstoppable Love - Live,"Jesus Culture, Kim Walker-Smith",spotify:track:5sFNgUNTWE8UymsyXCo9y4,0.388,0.57,-7.879,0.0322,0.105,0.0,0.277,0.0963,147.9,552653
Love Is to Die,Warpaint,spotify:track:7fQFSu5m50PFFm6CdYKSHF,0.431,0.639,-9.07,0.034,0.254,0.352,0.0856,0.428,85.404,291758
Down A** B**ch,"Ja Rule, Chuck",spotify:track:4Z69sHFf60gZbdgdd9sBBq,0.483,0.644,-6.605,0.307,0.37,0.0,0.202,0.532,87.937,331133
I Won't Say (I'm In Love),"Susan Egan, Cheryl Freeman, LaChanze, Vaneese Thomas, Lillias White",spotify:track:03wwl6PnZyltRjeMkxWzUQ,0.675,0.456,-10.354,0.0512,0.231,0.0,0.173,0.484,121.235,140227
Could This Be Love,The Wanted,spotify:track:0QzfLf5xVLqaF2QBxXCH5V,0.332,0.777,-4.493,0.0534,0.155,0.0,0.179,0.294,98.761,187360
No Love,Death Grips,spotify:track:5fDj1YVNR04RtQNP4iYapO,0.547,0.884,-1.452,0.366,0.0221,1.33e-06,0.0662,0.608,146.75,303693
Sorry Is A Sorry Word,Tarrus Riley,spotify:track:05Z4eQ7llqucxW1BMeGOVR,0.658,0.924,-2.015,0.339,0.216,0.0,0.186,0.644,87.854,215432
Shock Me,KISS,spotify:track:39hfj6Tnqgsxn7jGTfWl18,0.655,0.812,-7.779,0.0678,0.0383,0.000645,0.0238,0.866,127.092,226773
Crazy Kinda Love,Jason Benoit,spotify:track:6DUVtNvxrnkAcp2aF6g3ke,0.555,0.8,-5.452,0.0505,0.0457,0.0,0.0759,0.849,161.965,198536
"Send My Love / Sit Still, Look Pretty (Acoustic Mashup)","Landon Austin, Kaya May",spotify:track:55qNvU28lXUg71TKMqiXmM,0.639,0.458,-8.183,0.0519,0.542,0.0,0.0964,0.412,83.967,202143
Let's Fall In Love,Diana Krall,spotify:track:4IVyX0UJzGyUk0MLiz1jVJ,0.615,0.177,-16.925,0.0465,0.82,0.000186,0.135,0.383,124.558,258960
Hurricane Love,LA WOMEN,spotify:track:56WVi2cTmU5BwHEzOjYpGk,0.561,0.556,-7.132,0.0306,0.411,2.01e-05,0.135,0.377,141.998,191203
Satellite of Love,Lou Reed,spotify:track:5WyuRWUcOOhAic0tj9Pl28,0.458,0.502,-10.186,0.0294,0.442,5.51e-06,0.299,0.571,121.861,221120
A Thing Called Love,Johnny Cash,spotify:track:4Zy3y23RJDQEohBZFu94v1,0.526,0.499,-10.873,0.0345,0.481,0.0,0.261,0.786,155.775,152680
"Zero To Hero - From ""Hercules""",Ariana Grande,spotify:track:685FssvXssY1hyIZWDb7WX,0.514,0.774,-5.569,0.279,0.343,0.0,0.28,0.604,116.037,159533
Love of a Lifetime,Firehouse,spotify:track:2kDH08boXJyhKMl5hnZbrE,0.472,0.48,-11.893,0.0308,0.000204,0.00275,0.0914,0.126,123.023,286573
Show Me Love,Hundred Waters,spotify:track:07KMQNsSXfWJjOzFzwNWoE,0.626,0.31,-15.987,0.161,0.879,0.0,0.643,0.225,60.285,75672
I Am.,JoJo,spotify:track:012Dp2HH7Yd2Vn06icBFQv,0.599,0.303,-7.658,0.0341,0.8,0.0,0.0822,0.36,114.655,235333
Foe Tha Love of $,"Bone Thugs-N-Harmony, Eazy-E",spotify:track:1muLq1kBLWIT3pmNC2xl0g,0.772,0.695,-8.013,0.0735,0.00295,0.0,0.427,0.643,137.868,272440
Drunk Enough to Say That I Love You,PLVTINUM,spotify:track:6TJopB7B3ho7mr1Qm5X7Hf,0.77,0.751,-6.315,0.0456,0.0615,2.15e-05,0.073,0.52,127.962,222261
Love Me Two Times,The Doors,spotify:track:67HxeUADW4H3ERfaPW59ma,0.684,0.698,-6.219,0.041,0.332,5.16e-06,0.122,0.839,132.846,195107
Make You Feel My Love (Live at Hotel Cafe),Adele,spotify:track:16nQF9mLw4qMKnz9cJ2cpn,0.447,0.166,-12.193,0.0374,0.974,3.81e-06,0.665,0.107,144.706,232200
I'd Love To Change The World,Jetta,spotify:track:6Yjvr9Q3B0gifG2oZtlae8,0.478,0.567,-11.512,0.0986,0.292,0.201,0.359,0.167,110.9,187293
Choca,Plan B,spotify:track:5E0gsHgrsCwG4FxTit0ltJ,0.853,0.826,-4.837,0.11,0.221,2.37e-06,0.0575,0.521,88.004,220867
I Just Called To Say I Love You,Stevie Wonder,spotify:track:6VAKyYoJQu1hwjWNvxQVTt,0.748,0.551,-8.624,0.0235,0.198,0.0,0.0978,0.662,113.524,260613
Into You,Private Pleasure,spotify:track:4yJZ05LDnUjrmBWZhuDDw1,0.597,0.332,-14.436,0.0294,0.622,0.857,0.108,0.313,119.962,277920
Hard II Love,Usher,spotify:track:6OIGHKICGF76zaMnWnch1g,0.621,0.391,-7.731,0.0369,0.844,0.0,0.288,0.457,136.852,202933
LoveStoned / I Think She Knows (Interlude),Justin Timberlake,spotify:track:5iyE2d4U3Vc5cqY9mPTlpy,0.859,0.681,-6.247,0.0549,0.34,0.000161,0.213,0.852,121.243,444333
You're a Superstar - City of Love Club Mix,"Love Inc., Brian Higgins, Matt Gray, Tim Powell",spotify:track:37zeMGAyhaUJWwbU9qYTqM,0.794,0.717,-10.507,0.0535,0.148,0.147,0.0946,0.461,135.005,347853
Love Again (feat. WAVZ),"SLANDER, WAVZ",spotify:track:7c6mnuoAHoopR1Ti2bCKz2,0.558,0.852,-4.733,0.332,0.0171,0.0,0.226,0.36,150.211,295947
Can't Help Falling In Love,Kina Grannis,spotify:track:14UvqLsdqw2dsmVkmTYptE,0.444,0.143,-11.449,0.0302,0.925,6.92e-05,0.118,0.132,100.341,188355
